,src_id,dst_id
1714,6939,12586
1728,6939,12684
1734,6939,12709
1735,6939,12713
1736,6939,12714
1739,6939,12731
1741,6939,12735
1742,6939,12741
1747,6939,12779
1763,6939,12859
1764,6939,12874
1766,6939,12883
1774,6939,12926
1777,6939,12956
1780,6939,12989
1786,6939,13002
1787,6939,13004
1790,6939,13030
1798,6939,13094
1800,6939,13101
1809,6939,13156
1815,6939,13193
1816,6939,13194
1821,6939,13237
1825,6939,13249
1837,6939,13335
1838,6939,13354
1853,6939,13489
1855,6939,13536
1873,6939,13767
1874,6939,13768
1876,6939,13786
1879,6939,13807
1918,6939,14244
1919,6939,14259
1938,6939,14492
1942,6939,14537
1968,6939,14840
1994,6939,15146
1997,6939,15169
2020,6939,15399
2022,6939,15412
2025,6939,15433
2028,6939,15440
2041,6939,15566
2042,6939,15576
2064,6939,15694
2065,6939,15695
2068,6939,15703
2072,6939,15738
2082,6939,15802
2084,6939,15808
2087,6939,15830
2096,6939,15932
2101,6939,15958
2104,6939,15965
2108,6939,15994
2122,6939,16097
2130,6939,16164
2140,6939,16265
2173,6939,16637
2181,6939,16713
2182,6939,16735
2194,6939,16866
2208,6939,17072
2230,6939,17378
2232,6939,17408
2238,6939,17457
2240,6939,17494
2248,6939,17557
2249,6939,17559
2250,6939,17579
2254,6939,17676
2261,6939,17709
2277,6939,17941
2288,6939,17993
2289,6939,18001
2301,6939,18106
2310,6939,18187
2322,6939,18351
2346,6939,18734
2348,6939,18779
2350,6939,18840
2370,6939,19151
2403,6939,19551
2414,6939,19711
2436,6939,20080
2438,6939,20115
2439,6939,20119
2460,6939,20473
2463,6939,20485
2464,6939,20495
2474,6939,20562
2484,6939,20647
2489,6939,20676
2502,6939,20751
2504,6939,20764
2506,6939,20771
2507,6939,20773
2512,6939,20804
2525,6939,20860
2537,6939,20928
2539,6939,20940
2544,6939,21013
2575,6939,21320
2587,6939,21385
2593,6939,21413
2605,6939,21488
2629,6939,21777
2635,6939,21859
2661,6939,22356
2669,6939,22418
2678,6939,22541
2680,6939,22548
2694,6939,22724
2695,6939,22742
2698,6939,22773
2702,6939,22822
2717,6939,23033
2742,6939,23352
2755,6939,23520
2760,6939,23576
2787,6939,23816
2796,6939,23855
2802,6939,23930
2804,6939,23947
2849,6939,24482
2850,6939,24492
2851,6939,24516
2861,6939,24589
2867,6939,24611
2883,6939,24724
2884,6939,24730
2890,6939,24753
2891,6939,24768
2894,6939,24785
2901,6939,24875
2913,6939,24961
2926,6939,25091
2942,6939,25192
2948,6939,25248
2950,6939,25273
2952,6939,25291
2958,6939,25369
2977,6939,25467
3015,6939,25818
3022,6939,25899
3075,6939,26554
3079,6939,26615
3093,6939,26803
3106,6939,27008
3152,6939,27822
3156,6939,28007
3248,6939,28663
3256,6939,28716
3279,6939,28907
3281,6939,28910
3282,6939,28917
3292,6939,29003
3295,6939,29014
3299,6939,29049
3303,6939,29075
3304,6939,29076
3312,6939,29107
3314,6939,29119
3324,6939,29170
3328,6939,29208
3330,6939,29226
3338,6939,29286
3344,6939,29357
3359,6939,29467
3372,6939,29550
3373,6939,29551
3395,6939,29691
3399,6939,29791
3400,6939,29802
3403,6939,29838
3435,6939,30176
3475,6939,30781
3482,6939,30844
3499,6939,30990
3504,6939,31027
3520,6939,31133
3526,6939,31216
3536,6939,31287
3554,6939,31424
3559,6939,31463
3564,6939,31500
3569,6939,31529
3613,6939,32097
3614,6939,32098
3621,6939,32217
3676,6939,32787
3690,6939,32934
3700,6939,33132
3713,6939,33333
3721,6939,33438
3748,6939,33763
3750,6939,33771
3762,6939,33922
