node_id,feat
55818,"409, 409"
56340,"415, 415"
56407,"412, 412"
56418,"419, 419"
56534,"504, 504"
56630,"643, 643"
56679,"424, 424"
56694,"419, 419"
56814,"411, 411"
56864,"415, 415"
57073,"420, 420"
57107,"412, 412"
57111,"323, 323"
57363,"446, 446"
57463,"409, 409"
57487,"421, 421"
57512,"452, 452"
57629,"465, 465"
57724,"581, 581"
57866,"131, 131"
57918,"412, 412"
57931,"411, 411"
57976,"698, 698"
58002,"428, 428"
58067,"429, 429"
58310,"413, 413"
58715,"611, 611"
59624,"482, 482"
59883,"413, 413"
59947,"571, 571"
60068,"705, 705"
60072,"417, 417"
60280,"509, 509"
60283,"412, 412"
60347,"413, 413"
60357,"422, 422"
60388,"460, 460"
60459,"417, 417"
60486,"450, 450"
60691,"414, 414"
60731,"413, 413"
60764,"462, 462"
60771,"424, 424"
60840,"413, 413"
60921,"413, 413"
61111,"413, 413"
61121,"412, 412"
61400,"445, 445"
62040,"421, 421"
62044,"522, 522"
62146,"412, 412"
62205,"431, 431"
62314,"427, 427"
64433,"413, 413"
132203,"620, 620"
136907,"701, 701"
139057,"473, 473"
196610,"477, 477"
196695,"445, 445"
196709,"422, 422"
196750,"466, 466"
196925,"637, 637"
197062,"422, 422"
197204,"419, 419"
197826,"409, 409"
197888,"427, 427"
197969,"412, 412"
198539,"413, 413"
198610,"427, 427"
199008,"411, 411"
199599,"577, 577"
199624,"431, 431"
199669,"427, 427"
199790,"465, 465"
200044,"424, 424"
200161,"422, 422"
200350,"420, 420"
200487,"430, 430"
200976,"417, 417"
201119,"499, 499"
201211,"415, 415"
201333,"323, 323"
201706,"476, 476"
201776,"461, 461"
202173,"413, 413"
202486,"414, 414"
202838,"412, 412"
203784,"441, 441"
204271,"413, 413"
204582,"411, 411"
204600,"424, 424"
204720,"458, 458"
205022,"413, 413"
205063,"463, 463"
206295,"464, 464"
206846,"413, 413"
207133,"415, 415"
207561,"412, 412"
207785,"441, 441"
208075,"412, 412"
209030,"422, 422"
209307,"477, 477"
209739,"412, 412"
211000,"412, 412"
211157,"412, 412"
266925,"595, 595"
396986,"544, 544"
122,"6, 6"
137,"63, 63"
2597,"11, 11"
2598,"1, 1"
5392,"262, 262"
5502,"1, 1"
8660,"344, 344"
8978,"15, 15"
15830,"1015, 1015"
16004,"24, 24"
20745,"2, 2"
21333,"9, 9"
31638,"200, 200"
34347,"220, 220"
35110,"2, 2"
42081,"2, 2"
42165,"2, 2"
49367,"212, 212"
49976,"2, 2"
50112,"8, 8"
51708,"31, 31"
197440,"89, 89"
199181,"448, 448"
199342,"2, 2"
205195,"2, 2"
209631,"6, 6"
264479,"770, 770"
271253,"723, 723"
149,"2, 2"
367,"16, 16"
156,"4, 4"
160,"9, 9"
161,"3, 3"
2562,"2, 2"
173,"8, 8"
2511,"1, 1"
38639,"11, 11"
174,"6628, 6628"
14,"3, 3"
20,"4, 4"
26,"4, 4"
29,"5, 5"
91,"3, 3"
92,"4, 4"
98,"2, 2"
188,"3, 3"
209,"1277, 1277"
210,"16, 16"
223,"3, 3"
376,"37, 37"
549,"27, 27"
557,"10, 10"
577,"289, 289"
693,"2, 2"
702,"234, 234"
703,"120, 120"
766,"35, 35"
800,"4, 4"
803,"50, 50"
812,"195, 195"
906,"20, 20"
952,"17, 17"
1204,"5, 5"
1213,"16, 16"
1237,"39, 39"
1257,"256, 256"
1265,"2, 2"
1277,"4, 4"
1286,"3, 3"
1289,"3, 3"
1299,"2317, 2317"
1311,"3, 3"
1351,"22, 22"
1355,"1, 1"
1406,"2, 2"
1411,"3, 3"
1419,"1, 1"
1421,"11, 11"
1422,"3, 3"
1423,"2, 2"
1428,"2, 2"
1435,"1, 1"
1442,"3, 3"
1443,"3, 3"
1448,"11, 11"
1605,"5, 5"
1616,"3, 3"
1622,"2, 2"
1635,"3, 3"
1678,"12, 12"
1680,"350, 350"
1742,"5, 5"
1820,"435, 435"
1825,"2, 2"
1836,"164, 164"
1886,"3, 3"
1930,"16, 16"
1955,"14, 14"
1968,"8, 8"
1996,"3, 3"
2018,"97, 97"
2033,"2, 2"
2044,"71, 71"
2107,"14, 14"
2108,"4, 4"
2149,"1, 1"
2200,"80, 80"
2485,"3, 3"
2495,"19, 19"
2516,"313, 313"
2518,"77, 77"
2519,"86, 86"
2544,"29, 29"
2549,"3, 3"
2552,"4, 4"
2589,"2, 2"
2611,"46, 46"
2614,"55, 55"
2615,"8, 8"
2637,"4, 4"
2686,"253, 253"
2711,"87, 87"
2721,"8, 8"
2728,"7, 7"
2731,"8, 8"
2733,"1, 1"
2828,"371, 371"
2857,"45, 45"
2860,"53, 53"
2901,"3, 3"
2914,"1613, 1613"
3061,"2, 2"
3064,"4, 4"
3213,"72, 72"
3238,"26, 26"
3245,"9, 9"
3250,"19, 19"
3252,"62, 62"
3255,"283, 283"
3266,"1, 1"
3302,"78, 78"
3324,"13, 13"
3326,"415, 415"
3330,"36, 36"
3347,"7, 7"
3356,"6390, 6390"
3389,"3, 3"
3401,"3, 3"
3450,"6, 6"
3457,"9, 9"
3464,"6, 6"
3479,"15, 15"
3512,"14, 14"
3599,"10, 10"
3605,"37, 37"
3663,"16, 16"
3685,"7, 7"
3701,"29, 29"
3714,"4, 4"
3755,"5, 5"
3777,"2, 2"
3778,"4, 4"
3782,"2, 2"
3786,"431, 431"
3795,"2, 2"
3800,"3, 3"
3820,"2, 2"
3853,"8, 8"
3855,"13, 13"
3900,"30, 30"
3925,"4, 4"
4058,"62, 62"
4134,"279, 279"
4136,"32, 32"
4195,"10, 10"
4213,"45, 45"
4224,"2, 2"
4230,"493, 493"
4232,"2, 2"
4246,"3, 3"
4255,"1, 1"
4261,"6, 6"
4314,"3, 3"
4354,"3, 3"
4373,"5, 5"
4374,"3, 3"
4385,"16, 16"
4474,"21, 21"
4508,"13, 13"
4511,"3, 3"
4538,"64, 64"
4544,"4, 4"
4546,"11, 11"
4563,"2, 2"
4581,"19, 19"
4646,"17, 17"
4651,"224, 224"
4657,"603, 603"
4764,"103, 103"
4766,"585, 585"
4773,"49, 49"
4775,"276, 276"
4788,"346, 346"
4800,"259, 259"
4837,"120, 120"
4857,"19, 19"
4867,"6, 6"
4877,"1, 1"
4886,"2, 2"
4888,"1, 1"
4889,"2, 2"
4890,"2, 2"
4894,"2, 2"
4897,"2, 2"
4903,"1, 1"
4905,"2, 2"
4913,"10, 10"
4927,"32, 32"
4965,"3, 3"
5008,"3, 3"
5009,"20, 20"
5022,"3, 3"
5033,"7, 7"
5050,"23, 23"
5056,"58, 58"
5069,"2, 2"
5078,"31, 31"
5108,"2, 2"
5390,"71, 71"
5391,"50, 50"
5400,"148, 148"
5410,"85, 85"
5416,"71, 71"
5436,"3, 3"
5466,"108, 108"
5500,"52, 52"
5505,"30, 30"
5511,"292, 292"
5538,"13, 13"
5564,"64, 64"
5587,"6, 6"
5606,"265, 265"
5610,"48, 48"
5631,"64, 64"
5639,"9, 9"
5661,"5, 5"
5690,"19, 19"
5697,"2, 2"
5716,"1, 1"
5719,"4, 4"
5742,"7, 7"
5760,"5, 5"
5769,"68, 68"
6057,"62, 62"
6059,"13, 13"
6061,"1, 1"
6074,"3, 3"
6118,"6, 6"
6122,"20, 20"
6128,"38, 38"
6130,"31, 31"
6134,"19, 19"
6169,"9, 9"
6172,"3, 3"
6181,"69, 69"
6188,"3, 3"
6199,"3, 3"
6200,"4, 4"
6220,"16, 16"
6231,"2, 2"
6244,"2, 2"
6300,"22, 22"
6305,"3, 3"
6315,"41, 41"
6325,"52, 52"
6327,"255, 255"
6336,"10, 10"
6341,"2, 2"
6343,"3, 3"
6364,"6, 6"
6379,"5, 5"
6391,"35, 35"
6400,"11, 11"
6405,"7, 7"
6412,"23, 23"
6434,"2, 2"
6453,"660, 660"
6485,"1, 1"
6494,"1, 1"
6503,"23, 23"
6507,"174, 174"
6536,"11, 11"
6561,"3, 3"
6566,"5, 5"
6620,"9, 9"
6621,"75, 75"
6653,"15, 15"
6674,"3, 3"
6677,"179, 179"
6696,"64, 64"
6700,"20, 20"
6713,"17, 17"
6735,"150, 150"
6738,"23, 23"
6752,"7, 7"
6758,"63, 63"
6759,"1, 1"
6764,"10, 10"
6768,"139, 139"
6772,"65, 65"
6774,"244, 244"
6775,"10, 10"
6776,"22, 22"
6812,"4, 4"
6849,"75, 75"
6876,"107, 107"
6893,"17, 17"
6913,"1, 1"
6924,"3, 3"
6971,"2, 2"
6977,"2, 2"
7018,"2491, 2491"
7040,"2, 2"
7049,"247, 247"
7057,"15, 15"
7065,"3, 3"
7078,"2, 2"
7106,"23, 23"
7131,"9, 9"
7138,"6, 6"
7143,"3, 3"
7148,"5, 5"
7153,"2, 2"
7162,"22, 22"
7194,"4, 4"
7195,"1440, 1440"
7203,"5, 5"
7219,"9, 9"
7221,"2, 2"
7227,"4, 4"
7250,"5, 5"
7270,"16, 16"
7296,"12, 12"
7297,"4, 4"
7310,"4, 4"
7311,"58, 58"
7314,"2, 2"
7336,"2, 2"
7341,"8, 8"
7362,"2, 2"
7393,"9, 9"
7403,"1, 1"
7415,"4, 4"
7423,"4, 4"
7456,"1, 1"
7497,"33, 33"
7529,"33, 33"
7552,"308, 308"
7617,"36, 36"
7632,"55, 55"
7679,"44, 44"
7734,"7, 7"
7741,"5, 5"
7754,"16, 16"
7761,"2, 2"
7765,"2, 2"
7784,"28, 28"
7794,"23, 23"
7810,"4, 4"
7819,"23, 23"
7828,"11, 11"
7835,"1, 1"
7850,"34, 34"
7862,"32, 32"
7867,"5, 5"
7868,"1, 1"
7883,"1, 1"
7908,"12, 12"
7932,"2, 2"
7941,"6, 6"
7979,"121, 121"
7985,"1, 1"
7992,"39, 39"
8001,"54, 54"
8002,"50, 50"
8015,"13, 13"
8025,"7, 7"
8069,"9, 9"
8075,"307, 307"
8097,"3, 3"
8100,"78, 78"
8103,"11, 11"
8148,"2, 2"
8149,"4, 4"
8151,"86, 86"
8180,"2, 2"
8208,"4, 4"
8224,"31, 31"
8265,"35, 35"
8271,"5, 5"
